mirabest_filename,mirabest_split,mirabest_ra,mirabest_dec,mirabest_label,crumb_filename,crumb_split,crumb_ra,crumb_dec,crumb_label,coord_offset_deg,pixel_mean_abs_diff,labels_agree
./MiraBest_data/100_162.947+055.386_0.0739_0250.34.png,train,162.947,55.386,100,./CombinedCat/PNG/Scaled_Final/162.947_+055.386.png,train,162.947,55.386,FRI,0.0,0.007378,True
./MiraBest_data/100_208.259+033.091_0.0610_0123.73.png,train,208.259,33.091,100,./CombinedCat/PNG/Scaled_Final/208.259_+033.091.png,train,208.259,33.091,FRI,0.0,0.015733,True
./MiraBest_data/100_225.140+042.338_0.4429_0114.18.png,train,225.14,42.338,100,./CombinedCat/PNG/Scaled_Final/225.140_+042.338.png,train,225.14,42.338,FRI,0.0,0.002978,True
./MiraBest_data/100_243.198+005.333_0.1469_0058.51.png,train,243.198,5.333,100,./CombinedCat/PNG/Scaled_Final/243.198_+005.333.png,test,243.198,5.333,FRI,0.0,0.004356,True
./MiraBest_data/100_166.705+029.898_0.4648_0048.73.png,train,166.705,29.898,100,./CombinedCat/PNG/Scaled_Final/166.705_+029.898.png,train,166.705,29.898,FRI,0.0,0.001022,True
./MiraBest_data/100_157.651+035.917_0.1235_0037.24.png,train,157.651,35.917,100,./CombinedCat/PNG/Scaled_Final/157.651_+035.917.png,train,157.651,35.917,FRI,0.0,0.014089,True
./MiraBest_data/100_136.428+042.354_0.1565_0016.04.png,train,136.428,42.354,100,./CombinedCat/PNG/Scaled_Final/136.428_+042.354.png,train,136.428,42.354,FRI,0.0,0.004133,True
./MiraBest_data/100_165.417+033.289_0.2033_0130.83.png,train,165.417,33.289,100,./CombinedCat/PNG/Scaled_Final/165.417_+033.289.png,train,165.417,33.289,FRI,0.0,0.006267,True
./MiraBest_data/100_193.904+034.946_0.1830_0020.42.png,train,193.904,34.946,100,./CombinedCat/PNG/Scaled_Final/193.904_+034.946.png,train,193.904,34.946,FRI,0.0,0.004311,True
./MiraBest_data/100_225.172+036.363_0.2552_0032.20.png,train,225.172,36.363,100,./CombinedCat/PNG/Scaled_Final/225.172_+036.363.png,train,225.172,36.363,FRII,0.0,0.037289,False
./MiraBest_data/100_126.484+017.861_0.0905_0151.78.png,train,126.484,17.861,100,./CombinedCat/PNG/Scaled_Final/126.484_+017.861.png,train,126.484,17.861,FRI,0.0,0.005333,True
./MiraBest_data/100_194.092+001.426_0.3345_0170.89.png,train,194.092,1.426,100,./CombinedCat/PNG/Scaled_Final/194.092_+001.426.png,train,194.092,1.426,FRI,0.0,0.002533,True
./MiraBest_data/100_156.766+038.337_0.1230_0161.16.png,train,156.766,38.337,100,./CombinedCat/PNG/Scaled_Final/156.766_+038.337.png,train,156.766,38.337,FRI,0.0,0.0152,True
./MiraBest_data/100_127.782+039.239_0.2066_0114.76.png,train,127.782,39.239,100,./CombinedCat/PNG/Scaled_Final/127.782_+039.239.png,train,127.782,39.239,FRI,0.0,0.013244,True
./MiraBest_data/100_242.088+028.479_0.0502_0190.05.png,train,242.088,28.479,100,./CombinedCat/PNG/Scaled_Final/242.088_+028.479.png,test,242.088,28.479,FRII,0.0,0.000844,False
