CUDA Memory Cleared. Current VRAM Usage: 0.00 MB
On device cuda
Getting data loader crumb
Total unique classes found: 2
Label IDs: [0, 1]
Total images in dataset: 2003
Total batches: 86 (at batch size 16)

============================================================
Run 1/1  |  seed=43  |  results -> results/robust_classification/run_20260629_152839_seed43
============================================================

Training robust_classification for 300 epochs
  Batch   0 | t=[0,0] | loss=0.7459 | acc=7/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [7] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [11] pred=0 true=1 t=0, [14] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  11 | t=[0,0] | loss=0.6515 | acc=11/16 | MISCLASSIFIED: [5] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [13] pred=0 true=1 t=0
  Batch  12 | t=[0,0] | loss=1.2217 | acc=5/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [14] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  13 | t=[0,0] | loss=0.9717 | acc=6/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [14] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  14 | t=[0,0] | loss=0.6877 | acc=9/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [2] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [12] pred=1 true=0 t=0
  Batch  15 | t=[0,0] | loss=0.8241 | acc=6/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [5] pred=0 true=1 t=0, [6] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  16 | t=[0,0] | loss=0.8344 | acc=7/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [14] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  17 | t=[0,0] | loss=0.6701 | acc=10/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  18 | t=[0,0] | loss=0.8226 | acc=5/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [14] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  19 | t=[0,0] | loss=0.6464 | acc=10/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [2] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [10] pred=1 true=0 t=0, [11] pred=0 true=1 t=0, [13] pred=1 true=0 t=0
  Batch  20 | t=[0,0] | loss=0.6281 | acc=10/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [4] pred=0 true=1 t=0, [7] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [10] pred=1 true=0 t=0, [14] pred=0 true=1 t=0
  Batch  21 | t=[0,0] | loss=0.6733 | acc=8/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [4] pred=1 true=0 t=0, [5] pred=0 true=1 t=0, [7] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  22 | t=[0,0] | loss=0.8109 | acc=6/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [14] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  23 | t=[0,0] | loss=0.5792 | acc=10/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [7] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  24 | t=[0,0] | loss=0.7230 | acc=10/16 | MISCLASSIFIED: [5] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [12] pred=1 true=0 t=0, [15] pred=0 true=1 t=0
  Batch  25 | t=[0,0] | loss=0.6911 | acc=9/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [3] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [14] pred=1 true=0 t=0
  Batch  26 | t=[0,0] | loss=0.7552 | acc=10/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  27 | t=[0,0] | loss=0.7260 | acc=9/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [4] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  28 | t=[0,0] | loss=0.7671 | acc=10/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [5] pred=0 true=1 t=0, [6] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  29 | t=[0,0] | loss=0.6023 | acc=10/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [12] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  30 | t=[0,0] | loss=0.6749 | acc=7/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [2] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [5] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [12] pred=0 true=1 t=0, [14] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  31 | t=[0,0] | loss=0.5616 | acc=12/16 | MISCLASSIFIED: [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [13] pred=0 true=1 t=0
  Batch  32 | t=[0,0] | loss=0.6908 | acc=10/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [10] pred=0 true=1 t=0
  Batch  33 | t=[0,0] | loss=0.5743 | acc=14/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [11] pred=1 true=0 t=0
  Batch  34 | t=[0,0] | loss=0.7449 | acc=10/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [2] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [14] pred=1 true=0 t=0
  Batch  35 | t=[0,0] | loss=0.5901 | acc=11/16 | MISCLASSIFIED: [2] pred=0 true=1 t=0, [3] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [13] pred=0 true=1 t=0
  Batch  36 | t=[0,0] | loss=0.4808 | acc=11/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [4] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  37 | t=[0,0] | loss=1.0871 | acc=6/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  38 | t=[0,0] | loss=0.7305 | acc=9/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [14] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  39 | t=[0,0] | loss=0.7445 | acc=11/16 | MISCLASSIFIED: [2] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  40 | t=[0,0] | loss=0.6160 | acc=9/16 | MISCLASSIFIED: [2] pred=1 true=0 t=0, [6] pred=0 true=1 t=0, [7] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [12] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  41 | t=[0,0] | loss=0.6889 | acc=9/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [6] pred=0 true=1 t=0, [7] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=1 true=0 t=0, [13] pred=1 true=0 t=0
  Batch  42 | t=[0,0] | loss=0.4959 | acc=13/16 | MISCLASSIFIED: [5] pred=0 true=1 t=0, [8] pred=1 true=0 t=0, [9] pred=0 true=1 t=0
  Batch  43 | t=[0,0] | loss=0.8574 | acc=8/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [14] pred=0 true=1 t=0
  Batch  44 | t=[0,0] | loss=0.4623 | acc=11/16 | MISCLASSIFIED: [6] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  45 | t=[0,0] | loss=0.7847 | acc=8/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [7] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  46 | t=[0,0] | loss=0.9589 | acc=9/16 | MISCLASSIFIED: [2] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  47 | t=[0,0] | loss=0.6311 | acc=11/16 | MISCLASSIFIED: [3] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [7] pred=1 true=0 t=0, [13] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  48 | t=[0,0] | loss=0.5518 | acc=13/16 | MISCLASSIFIED: [4] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [13] pred=0 true=1 t=0
  Batch  49 | t=[0,0] | loss=0.7379 | acc=7/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [1] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [14] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  50 | t=[0,0] | loss=1.0257 | acc=8/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [1] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  51 | t=[0,0] | loss=0.6007 | acc=11/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [1] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  52 | t=[0,0] | loss=0.7473 | acc=11/16 | MISCLASSIFIED: [2] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  53 | t=[0,0] | loss=0.9857 | acc=8/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [13] pred=1 true=0 t=0
  Batch  54 | t=[0,0] | loss=0.4178 | acc=14/16 | MISCLASSIFIED: [5] pred=0 true=1 t=0, [12] pred=0 true=1 t=0
  Batch  55 | t=[0,0] | loss=0.7796 | acc=8/16 | MISCLASSIFIED: [2] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  56 | t=[0,0] | loss=0.5958 | acc=11/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [14] pred=0 true=1 t=0
  Batch  57 | t=[0,0] | loss=0.7580 | acc=9/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [7] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [13] pred=0 true=1 t=0
  Batch  58 | t=[0,0] | loss=0.7200 | acc=10/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=0 true=1 t=0, [14] pred=0 true=1 t=0
  Batch  59 | t=[0,0] | loss=0.4841 | acc=14/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [14] pred=1 true=0 t=0
  Batch  60 | t=[0,0] | loss=0.6205 | acc=10/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [3] pred=0 true=1 t=0, [7] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=1 true=0 t=0, [13] pred=1 true=0 t=0
  Batch  61 | t=[0,0] | loss=0.6325 | acc=12/16 | MISCLASSIFIED: [3] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [10] pred=1 true=0 t=0
  Batch  62 | t=[0,0] | loss=0.8403 | acc=9/16 | MISCLASSIFIED: [6] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [14] pred=1 true=0 t=0, [15] pred=0 true=1 t=0
  Batch  63 | t=[0,0] | loss=0.6907 | acc=10/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [5] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [12] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  64 | t=[0,0] | loss=0.4150 | acc=13/16 | MISCLASSIFIED: [4] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [9] pred=0 true=1 t=0
  Batch  65 | t=[0,0] | loss=0.5169 | acc=13/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [10] pred=0 true=1 t=0, [14] pred=0 true=1 t=0
  Batch  66 | t=[0,0] | loss=0.9287 | acc=6/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [6] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [9] pred=1 true=0 t=0, [13] pred=0 true=1 t=0, [14] pred=1 true=0 t=0
  Batch  67 | t=[0,0] | loss=0.5074 | acc=13/16 | MISCLASSIFIED: [4] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [15] pred=1 true=0 t=0
  Batch  68 | t=[0,0] | loss=0.7570 | acc=7/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [4] pred=1 true=0 t=0, [7] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=1 true=0 t=0, [12] pred=0 true=1 t=0, [14] pred=0 true=1 t=0
  Batch  69 | t=[0,0] | loss=0.5228 | acc=12/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [9] pred=1 true=0 t=0, [10] pred=0 true=1 t=0, [12] pred=0 true=1 t=0
  Batch  70 | t=[0,0] | loss=0.7040 | acc=10/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [2] pred=1 true=0 t=0, [4] pred=0 true=1 t=0, [5] pred=1 true=0 t=0, [9] pred=0 true=1 t=0, [12] pred=0 true=1 t=0
  Batch  71 | t=[0,0] | loss=0.5935 | acc=10/16 | MISCLASSIFIED: [2] pred=0 true=1 t=0, [3] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [12] pred=1 true=0 t=0
  Batch  72 | t=[0,0] | loss=0.7458 | acc=9/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [14] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  73 | t=[0,0] | loss=1.1002 | acc=7/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  74 | t=[0,0] | loss=0.6169 | acc=12/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [6] pred=1 true=0 t=0
  Batch  75 | t=[0,0] | loss=0.7266 | acc=9/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [6] pred=0 true=1 t=0, [10] pred=1 true=0 t=0, [11] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [15] pred=1 true=0 t=0
  Batch  76 | t=[0,0] | loss=0.5777 | acc=11/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [10] pred=1 true=0 t=0, [12] pred=1 true=0 t=0
  Batch  77 | t=[0,0] | loss=0.5203 | acc=11/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [5] pred=0 true=1 t=0, [7] pred=0 true=1 t=0, [12] pred=0 true=1 t=0
  Batch  78 | t=[0,0] | loss=0.5495 | acc=10/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [14] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  79 | t=[0,0] | loss=0.5938 | acc=10/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [2] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [13] pred=1 true=0 t=0, [14] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  80 | t=[0,0] | loss=0.6829 | acc=9/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [4] pred=1 true=0 t=0, [7] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [11] pred=1 true=0 t=0, [12] pred=0 true=1 t=0, [14] pred=1 true=0 t=0
  Batch  81 | t=[0,0] | loss=0.5751 | acc=11/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [3] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [10] pred=1 true=0 t=0
  Batch  82 | t=[0,0] | loss=0.6566 | acc=10/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [3] pred=1 true=0 t=0, [5] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [12] pred=1 true=0 t=0, [14] pred=0 true=1 t=0
  Batch  83 | t=[0,0] | loss=0.7324 | acc=10/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  84 | t=[0,0] | loss=0.6042 | acc=10/16 | MISCLASSIFIED: [3] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [13] pred=0 true=1 t=0, [14] pred=0 true=1 t=0
  Batch  85 | t=[0,0] | loss=0.5255 | acc=12/14 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [12] pred=1 true=0 t=0
Epoch 0 [warmup] | Loss: 0.6919 | Val Loss: 0.7193 | Val Acc: 56.0% | LR: 6.39e-04
--- Saved model to checkpoints/robust_classification/state.pt ---
--- Saved model to checkpoints/robust_classification_best/state.pt ---
  ** New best metric: 56.0% — saved to checkpoints/robust_classification_best
  Batch   0 | t=[0,2] | loss=0.6802 | acc=9/16 | MISCLASSIFIED: [2] pred=0 true=1 t=1, [4] pred=1 true=0 t=0, [8] pred=1 true=0 t=2, [11] pred=0 true=1 t=0, [12] pred=1 true=0 t=1, [13] pred=1 true=0 t=1, [15] pred=1 true=0 t=2
  Batch   1 | t=[0,2] | loss=0.7339 | acc=8/16 | MISCLASSIFIED: [2] pred=0 true=1 t=1, [3] pred=1 true=0 t=0, [4] pred=0 true=1 t=1, [7] pred=1 true=0 t=2, [9] pred=0 true=1 t=2, [10] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [15] pred=0 true=1 t=2
  Batch   2 | t=[0,2] | loss=0.6591 | acc=9/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=1 true=0 t=2, [2] pred=0 true=1 t=0, [4] pred=0 true=1 t=2, [6] pred=1 true=0 t=1, [8] pred=1 true=0 t=1, [12] pred=0 true=1 t=2
  Batch   3 | t=[0,2] | loss=0.5018 | acc=12/16 | MISCLASSIFIED: [3] pred=0 true=1 t=0, [4] pred=0 true=1 t=2, [9] pred=0 true=1 t=1, [12] pred=1 true=0 t=2
  Batch   4 | t=[0,2] | loss=0.5758 | acc=11/16 | MISCLASSIFIED: [0] pred=0 true=1 t=1, [2] pred=0 true=1 t=1, [4] pred=0 true=1 t=2, [10] pred=0 true=1 t=1, [13] pred=0 true=1 t=2
